id	text	category	priority	website	logo
7	24seven	Frame manufacturer	10	http://www.leisurelakesbikes.com/bikes/bmx-bikes/b/24seven	
1125	3G	Frame manufacturer	10	http://www.3gbikes.com/	
375	3T	Manufacturer	10		
374	3rd Eye	Manufacturer	10		
1112	3rensho	Frame manufacturer	10		
376	45North	Manufacturer	10		
377	4ZA	Manufacturer	10		
1274	6KU	Frame manufacturer	10	http://6kubikes.com	https://files.bikeindex.org/uploads/Ma/1274/6kubikescom.png
1113	9 zero 7	Frame manufacturer	10	https://www.facebook.com/9Zero7Bikes	
378	A-Class	Manufacturer	10		
8	A-bike	Frame manufacturer	10	http://www.a-bike.co.uk/	
1212	A2B e-bikes	Frame manufacturer	10	http://www.wearea2b.com/us/	
380	ABI	Manufacturer	10		
384	ACS	Manufacturer	10		
1255	AGang	Frame manufacturer	10	http://www.agang.eu	
24	ALAN	Frame manufacturer	10	http://www.alanbike.it/	
29	AMF	Frame manufacturer	10		
1268	AXA	Manufacturer	10	http://www.axa-stenman.com/en/bicycle-components/locks/frame-locks/defender/	
379	Aardvark	Manufacturer	10		
9	Abici	Frame manufacturer	10	http://www.abici-italia.it/en/index.html	
107	Abus	Manufacturer	10	http://www.abus.com/eng/Mobile-Security/Bike-safety-and-security/Locks	
382	Accelerade	Manufacturer	10		
10	Accell	Frame manufacturer	10	http://www.accell-group.com/uk/accell-group.asp	
1042	Access	Frame manufacturer	10	https://www.performancebike.com/	
383	Acros	Manufacturer	10		
1293	Acstar	Frame manufacturer	10	http://www.acstar.cz/	
1258	Adams (Trail a bike)	Frame manufacturer	10	http://www.trail-a-bike.com/	
77	Adolphe Clément	Frame manufacturer	10		
385	Adventure Medical Kits	Manufacturer	10		
1260	Aegis	Frame manufacturer	10	http://www.aegisbicycles.com/home.html	
1002	Aerofix Cycles	Frame manufacturer	10	http://www.aerofixcycles.com/	
1199	Affinity Cycles	Frame manufacturer	10	http://affinitycycles.com/	
386	AheadSet	Manufacturer	10		
1133	Airborne	Frame manufacturer	10	http://www.airbornebicycles.com/	
23	Aist Bicycles	Frame manufacturer	10	http://aist-bike.com/	
387	Aladdin	Manufacturer	10		
25	Alcyon	Frame manufacturer	10		
388	Alex	Manufacturer	10		
214	Alexander Leutner & Co.	Frame manufacturer	10		
1013	Alien Bikes	Frame manufacturer	10	http://alienbikes.com/	
389	Alienation	Manufacturer	10		
390	Alite Designs	Manufacturer	10		
371	All City	Frame manufacturer	100	http://allcitycycles.com	https://files.bikeindex.org/uploads/Ma/371/all-city.png
26	Alldays & Onions	Frame manufacturer	10		
1257	Alliance	Frame manufacturer	10	http://alliancebicycles.com/	
1366	Alton	Frame manufacturer	10	http://altonus.com/	
27	American Bicycle Company	Frame manufacturer	10		
391	American Classic	Manufacturer	10		
28	American Machine and Foundry	Frame manufacturer	10		
31	American Star Bicycle	Frame manufacturer	10		
1355	Amoeba	Frame manufacturer	10	http://www.amoebaparts.com/	
392	And	Manufacturer	10		
393	Andiamo	Manufacturer	10		
394	Answer BMX	Manufacturer	10		
1099	Apollo	Frame manufacturer	10	http://www.apollobikes.com/	
396	Aqua Sphere	Manufacturer	10		
397	Aquamira	Manufacturer	10		
398	Arai	Manufacturer	10		
1379	Ares	Frame manufacturer	10	http://www.aresbikes.com/	
32	Argon 18	Frame manufacturer	10	http://www.argon18bike.com/velo.html	
1081	Asama	Frame manufacturer	10	http://www.asamabicycles.com/	
994	Asda	Frame manufacturer	10	http://direct.asda.com/Bikes/AD080202,default,sc.html	
399	Assos	Manufacturer	10		
17	Atala	Frame manufacturer	10		
400	Atomlab	Frame manufacturer	10	http://www.atomlab.com/	
33	Author	Frame manufacturer	10	http://www.author.eu/	
1126	Avalon	Frame manufacturer	10	http://www.walmart.com/	
34	Avanti	Frame manufacturer	10	http://www.avantibikes.com/nz/	
1059	Aventón	Frame manufacturer	10	http://aventonbikes.com/	
401	Avid	Manufacturer	10		
402	Axiom	Manufacturer	10		
403	Axle Release	Manufacturer	10		
1156	Azonic	Frame manufacturer	10	http://www.oneal.com/index.php/home/azonic-prime	
1120	Azor	Frame manufacturer	10	http://www.azor.nl/	
404	Aztec	Manufacturer	10		
1101	Azzuri	Frame manufacturer	10	http://www.azzurribikes.com/	
410	BCA	Manufacturer	10		
36	BH Bikes (Beistegui Hermanos)	Frame manufacturer	10	http://bhbikes-us.com	
359	BMC	Frame manufacturer	10	http://www.bmc-racing.com	https://files.bikeindex.org/uploads/Ma/359/wwwbmcracingcom.png
424	BOB	Manufacturer	10	http://www.bobgear.com/bike-trailers	
429	BONT	Manufacturer	10		
431	BOX	Manufacturer	10		
437	BSD	Manufacturer	10		
1015	BULLITT	Frame manufacturer	10	http://www.larryvsharry.com/english/	
989	Bacchetta	Frame manufacturer	10	http://www.bacchettabikes.com/	
405	Backpacker's Pantry	Manufacturer	10		
1025	Backward Circle	Frame manufacturer	10	http://www.backwardcircle.com/	
406	Bahco	Manufacturer	10		
958	Bailey	Frame manufacturer	10	http://www.bailey-bikes.com	
407	Baladeo	Manufacturer	10		
1307	Bamboo Cycles	Frame manufacturer	10	http://bamboocycles.com/	
408	Banjo Brothers	Manufacturer	10		
1066	Banshee bikes	Frame manufacturer	10	http://www.bansheebikes.com	https://files.bikeindex.org/uploads/Ma/1066/wwwbansheebikescom.png
1362	Bantam (Bantam Bicycle works)	Frame manufacturer	10	http://www.bantambicycles.com/	
409	Bar Mitts	Manufacturer	10		
1134	Barracuda	Frame manufacturer	10	http://www.barracudabikes.co.uk/	
35	Basso	Frame manufacturer	10	http://www.bassobikes.com/	
18	Batavus	Frame manufacturer	10	http://www.batavus.com/	
1223	Bazooka	Frame manufacturer	10	http://www.bazookasports.com/	
1044	BeOne	Frame manufacturer	10	http://www.beone-bikes.com/	
1024	Beater Bikes	Frame manufacturer	10	http://beaterbikes.net/	
1235	Bell	Manufacturer	10		
411	Bellwether	Manufacturer	10		
1110	Benotto	Frame manufacturer	10		
1031	Bergamont	Frame manufacturer	10	http://www.bergamont.de/	
1383	Bertoni	Frame manufacturer	10		
412	Bertucci	Manufacturer	10		
129	Bianchi	Frame manufacturer	500	http://www.bianchi.com/	
39	Bickerton	Frame manufacturer	10		
413	Bicycle Research	Manufacturer	10		
414	Big Agnes Inc	Manufacturer	10		
1152	Big Shot	Frame manufacturer	10	http://www.bigshotbikes.com/	
415	Bike Fit Systems	Manufacturer	10		
40	Bike Friday	Frame manufacturer	10	http://bikefriday.com/	
1017	Bike Mielec	Frame manufacturer	10	http://www.bikemielec.com/	
416	Bike Ribbon	Manufacturer	10		
417	Bike-Aid	Manufacturer	10		
418	Bike-Eye	Manufacturer	10		
419	Bike-O-Vision	Manufacturer	10		
1148	Bike4Life	Frame manufacturer	10		
1100	BikeE recumbents	Frame manufacturer	10		
420	Bikes Belong	Manufacturer	10		
421	Bikeverywhere	Manufacturer	10		
41	Bilenky Cycle Works	Frame manufacturer	10	http://www.bilenky.com/Home.html	
42	Biomega	Frame manufacturer	10	http://biomega.dk/biomega.aspx	
422	BionX	Manufacturer	10		
255	Birdy	Frame manufacturer	10	http://www.birdybike.com/	
944	Biria	Frame manufacturer	10	http://www.biria.com/	
43	Birmingham Small Arms Company	Frame manufacturer	10		
1350	Bishop	Frame manufacturer	10	http://bishopbikes.com/	
423	Black Diamond	Manufacturer	10		
109	Black Market	Frame manufacturer	10	http://www.blackmarketbikes.com	
1178	Black Mountain Cycles	Frame manufacturer	10	http://www.blackmtncycles.com/	
1034	Black Sheep Bikes	Frame manufacturer	10	http://blacksheepbikes.com/	
1167	Blue	Frame manufacturer	10	http://www.rideblue.com/	
44	Boardman Bikes	Frame manufacturer	10	http://www.boardmanbikes.com/	
1032	Bobbin	Frame manufacturer	10	http://www.bobbinbikes.co.uk/	
425	BodyGlide	Manufacturer	10		
426	Boeshield	Manufacturer	10		
45	Bohemian Bicycles	Frame manufacturer	10	http://www.bohemianbicycles.com/	
427	Bondhus	Manufacturer	10		
428	Bonk Breaker	Manufacturer	10		
1286	Boo Bicycles	Frame manufacturer	10	http://boobicycles.com/	
1304	Boreal	Frame manufacturer	10	http://borealbikes.com/	
1305	Borealis (fat bikes)	Frame manufacturer	10	http://www.borealisbikes.com/	
430	Boreas Gear	Manufacturer	10		
48	Borile	Frame manufacturer	10	http://www.borile.it/gb_chi.html	
49	Bottecchia	Frame manufacturer	10	http://www.bottecchia.co.uk/	
1016	Boulder Bicycles	Frame manufacturer	10	http://www.renehersebicycles.com/Randonneur%20bikes.htm	
432	Brannock Device Co	Manufacturer	10		
51	Brasil & Movimento	Frame manufacturer	10	http://www.brasilemovimento.com.br	
433	Brave Soldier	Manufacturer	10		
1354	Breadwinner	Frame manufacturer	10	http://breadwinnercycles.com/	
1363	Breakbrake17 Bicycle Co.	Frame manufacturer	10	http://breakbrake17.com/	
941	Breezer	Frame manufacturer	100	http://www.breezerbikes.com/	
52	Brennabor	Frame manufacturer	10	http://brennabor.pl/	
53	Bridgestone	Frame manufacturer	100	http://www.bridgestone.com/	
1381	Brilliant Bicycle	Frame manufacturer	10	http://brilliant.co/	
54	British Eagle	Frame manufacturer	10		
1128	Brodie	Frame manufacturer	10	http://www.brodiebikes.com/2014/	
1246	Broke Bikes	Frame manufacturer	10	https://brokebik.es/	
55	Brompton Bicycle	Frame manufacturer	10	http://www.brompton.co.uk/	
1098	Brooklyn Bicycle Co.	Frame manufacturer	10	http://www.brooklynbicycleco.com/	
435	Brooks England LTD.	Manufacturer	10	http://www.brooksengland.com/	
1239	Browning	Frame manufacturer	10		
56	Brunswick Corporation	Frame manufacturer	10	http://www.brunswick.com/	
436	Brush Research	Manufacturer	10		
1265	Budnitz	Frame manufacturer	10	http://budnitzbicycles.com/	
438	Buff	Manufacturer	10		
439	Burley	Manufacturer	10		
57	Burley Design	Frame manufacturer	10	http://www.burley.com/	
440	Bushnell	Manufacturer	10		
441	Buzzy's	Manufacturer	10		
271	CCM	Frame manufacturer	10		
450	CDI Torque Products	Manufacturer	10		
1369	CETMA Cargo	Frame manufacturer	10	http://cetmacargo.com/	
72	CHUMBA Racing	Frame manufacturer	10	http://chumbabikes.com/	
468	CRUD	Manufacturer	10		
469	CST	Manufacturer	10		
1093	CVLN (Civilian)	Frame manufacturer	10	http://www.ridecvln.com/	
471	CX Tape	Manufacturer	10		
442	Caffelatex	Manufacturer	10		
58	Calcott Brothers	Frame manufacturer	10		
59	Calfee Design	Frame manufacturer	10	http://www.calfeedesign.com/	
443	California Springs	Manufacturer	10		
60	Caloi	Frame manufacturer	10	http://www.caloi.com/home/	
444	Camelbak	Manufacturer	10	http://www.camelbak.com/	
445	Camillus	Manufacturer	10		
446	Campagnolo	Manufacturer	10	http://www.campagnolo.com/	
61	Campion Cycle Company	Frame manufacturer	10		
447	Cane Creek	Manufacturer	10	http://www.canecreek.com/	
1183	Canfield Brothers	Frame manufacturer	10	http://canfieldbrothers.com/	
62	Cannondale	Frame manufacturer	500	http://www.cannondale.com/	
63	Canyon bicycles	Frame manufacturer	10	http://www.canyon.com/	
448	Carmichael Training Systems	Manufacturer	10		
64	Carrera bicycles	Frame manufacturer	10	http://www.carrera-podium.it/	
449	CatEye	Manufacturer	10		
66	Catrike	Frame manufacturer	10	http://www.catrike.com/	
1179	Cayne	Frame manufacturer	10	http://www.sun.bike/	
68	Centurion	Frame manufacturer	100	http://www.centurion.de/en_int	
451	CeramicSpeed	Manufacturer	10		
69	Cervélo	Frame manufacturer	100	http://www.cervelo.com/en/	
452	Chadwick	Manufacturer	10		
453	Challenge	Manufacturer	10		
940	Charge	Frame manufacturer	10	http://www.chargebikes.com/	
1129	Chariot	Frame manufacturer	10	http://www.thule.com/en-us/us/products/active-with-kids	
454	Chase	Manufacturer	10		
70	Chater-Lea	Frame manufacturer	10		
71	Chicago Bicycle Company	Frame manufacturer	10		
455	Chris King	Manufacturer	10		
1247	Christiania Bikes	Frame manufacturer	10	http://christianiabikes.com/en/	
456	Chromag	Frame manufacturer	10	http://www.chromagbikes.com	
1218	Cielo	Frame manufacturer	10	http://cielo.chrisking.com/	
1084	Cignal	Frame manufacturer	10		
73	Cilo	Frame manufacturer	10		
74	Cinelli	Frame manufacturer	10	http://www.cinelli-usa.com/	
1130	Ciocc	Frame manufacturer	10	http://www.ciocc.it/	
1068	Citizen Bike	Frame manufacturer	10	http://www.citizenbike.com/	
937	City Bicycles Company	Frame manufacturer	10	http://citybicycleco.com	https://files.bikeindex.org/uploads/Ma/937/citybicyclecocom.png
372	Civia	Frame manufacturer	10	http://www.civiacycles.com	https://files.bikeindex.org/uploads/Ma/372/wwwciviacyclescom.png
75	Clark-Kent	Frame manufacturer	10		
76	Claud Butler	Frame manufacturer	10	http://claudbutler.co.uk/	
457	Clean Bottle	Manufacturer	10		
458	Clement	Manufacturer	10		
459	Cloud Nine	Manufacturer	10		
460	Club Roost	Manufacturer	10		
78	Co-Motion	Frame manufacturer	10	http://www.co-motion.com/	
79	Coker Tire	Frame manufacturer	10	http://www.cokertire.com/	
80	Colnago	Frame manufacturer	10	http://www.colnago.com/bicycles/	
1225	Colony	Frame manufacturer	10	http://www.colonybmx.com	
1374	Colossi	Frame manufacturer	10	http://www.colossicycling.com/	
1146	Columbia	Frame manufacturer	10		
1295	Columbus Tubing	Frame manufacturer	10	http://www.columbustubi.com/	
461	Competition Cycles Services	Manufacturer	10		
959	Condor	Frame manufacturer	10	http://www.condorcycles.com/	
978	Conor	Frame manufacturer	10	http://www.conorbikes.com/	
462	Continental	Manufacturer	10		
463	Contour Sport	Manufacturer	10		
1060	Cook Bros. Racing	Frame manufacturer	10		
936	Cooper Bikes	Frame manufacturer	10	http://www.cooperbikes.com	https://files.bikeindex.org/uploads/Ma/936/wwwcooperbikescom.png
81	Corima	Frame manufacturer	10	http://www.corima.com/	
1205	Corratec	Frame manufacturer	10	http://www.corratec.com/	
82	Cortina Cycles	Frame manufacturer	10	http://www.cortinacycles.com/	
1139	Cove	Frame manufacturer	10	http://covebike.com/	
464	Craft	Manufacturer	10		
465	Crank Brothers	Manufacturer	10		
1220	Crank2	Frame manufacturer	10	http://www.crank-2.com	
466	Crazy Creek	Manufacturer	10		
1095	Create	Frame manufacturer	10	http://www.createbikes.com/	
1224	Creme Cycles	Frame manufacturer	10	http://cremecycles.com	https://files.bikeindex.org/uploads/Ma/1224/cremecyclescom.png
467	Crescent Moon	Manufacturer	10		
1253	Crew	Frame manufacturer	10	http://crewbikeco.com/	
935	Critical Cycles	Frame manufacturer	10	http://www.criticalcycles.com/	
1348	Crumpton	Frame manufacturer	10	http://www.crumptoncycles.com/	
1391	Cruzbike	Frame manufacturer	10	http://cruzbike.com/	
83	Cube	Frame manufacturer	10	http://www.cube.eu/en/cube-bikes/	
470	CueClip	Manufacturer	10		
362	Cult	Frame manufacturer	10	http://www.cultcrew.com	
1115	Currie Technology (Currietech)	Frame manufacturer	10	http://www.currietech.com/	
84	Currys	Frame manufacturer	10	http://www.currys.co.uk/gbuk/index.html	
1367	Cyclamatic	Frame manufacturer	10		
472	Cycle Dog	Manufacturer	10		
89	Cycle Force Group	Frame manufacturer	10	http://www.cyclefg.com/	
473	Cycle Stuff	Manufacturer	10		
474	CycleAware	Manufacturer	10		
475	CycleOps	Manufacturer	10		
964	CyclePro	Frame manufacturer	10		
1291	Cycles Fanatic	Frame manufacturer	10	http://www.cyclesfanatic.com/	
145	Cycles Follis	Frame manufacturer	10		
1385	Cycles Toussaint	Frame manufacturer	10	http://www.cyclestoussaint.com/	
4	Cycleurope	Frame manufacturer	10	http://www.cycleurope.com	
476	Cyclo	Manufacturer	10		
477	Cycloc	Manufacturer	10		
90	Cyfac	Frame manufacturer	10	http://www.cyfac.fr/index.aspx	
478	CygoLite	Manufacturer	10		
479	Cytosport	Manufacturer	10		
480	DAJO	Manufacturer	10		
1203	DEAN	Frame manufacturer	10	http://www.deanbikes.com	https://files.bikeindex.org/uploads/Ma/1203/wwwdeanbikescom.png
1127	DHS	Frame manufacturer	10	http://www.dhsbike.hu/	
493	DIG BMX	Manufacturer	10		
1132	DK Bikes	Frame manufacturer	10	http://www.dkbicycles.com/	
496	DMR Bikes	Frame manufacturer	10	http://www.dmrbikes.com/	
497	DNP	Manufacturer	10		
498	DT Swiss	Manufacturer	10		
501	DZ Nuts	Manufacturer	10		
91	Da Bomb Bikes	Frame manufacturer	10	http://www.dabombbike.com/	
1292	Daccordi	Frame manufacturer	10	http://www.daccordicicli.com/	
92	Dahon	Frame manufacturer	100	http://www.dahon.com/	
1219	Davidson	Frame manufacturer	10	http://davidsonbicycles.com/	
93	Dawes Cycles	Frame manufacturer	10	http://www.dawescycles.com/	
96	De Rosa	Frame manufacturer	10	http://www.derosanews.com/	
1087	DeBernardi	Frame manufacturer	10	http://www.zarbikes.com/zar/about-debernardi.html	
483	DeFeet	Manufacturer	10		
1244	DeSalvo Cycles	Frame manufacturer	10	http://www.desalvocycles.com/	
1300	Decathlon	Frame manufacturer	10	http://www.decathlon.fr	https://files.bikeindex.org/uploads/Ma/1300/wwwdecathlonfr.png
481	Deco	Manufacturer	10		
482	Deda Elementi	Manufacturer	10		
1008	Deity	Frame manufacturer	10	http://www.deitycomponents.com/	
1131	Del Sol	Frame manufacturer	10	http://www.ridedelsol.com/bikes	
1346	Della Santa	Frame manufacturer	10	http://dellasanta.com/	
484	Delta	Manufacturer	10		
485	Deluxe	Manufacturer	10		
486	Demolition	Manufacturer	10		
95	Den Beste Sykkel	Frame manufacturer	10	http://www.dbs.no/	
1242	Dengfu	Frame manufacturer	10	http://dengfubikes.com/	
5	Derby Cycle	Frame manufacturer	10	http://www.derby-cycle.com/en.html	
487	Dermatone	Manufacturer	10		
488	Dero	Manufacturer	10		
1206	Detroit Bikes	Frame manufacturer	10	http://detroitbikes.com/	
489	Deuter	Manufacturer	10		
97	Devinci	Frame manufacturer	10	http://www.devinci.com/home.html	
98	Di Blasi Industriale	Frame manufacturer	10	http://www.diblasi.it/?lng=en	
490	Dia-Compe	Manufacturer	10		
491	DiaTech	Manufacturer	10		
1237	Diadora	Frame manufacturer	10	http://www.diadoraamerica.com/	
99	Diamant	Frame manufacturer	10	http://www.diamantrad.com/home/	
199	Diamondback	Frame manufacturer	500	http://www.diamondback.com/	
492	Dicta	Manufacturer	10		
494	Dimension	Manufacturer	10		
495	Discwing	Manufacturer	10		
1	Doberman	Frame manufacturer	10	http:// https://www.facebook.com/DobermannBikes	
967	Dodici Milano	Frame manufacturer	10	http://www.dodicicicli.com/	
1057	Dolan	Frame manufacturer	10	http://www.dolan-bikes.com/	
6	Dorel Industries	Frame manufacturer	10	http://www.dorel.com/	
499	Dual Eyewear	Manufacturer	10		
500	Dualco	Manufacturer	10		
121	Dynacraft	Frame manufacturer	10	http://www.dynacraftbike.com/	
1208	Dynamic Bicycles	Frame manufacturer	10	http://www.dynamicbicycles.com/	
927	Dyno	Frame manufacturer	10		
503	E-Case	Manufacturer	10		
310	E. C. Stearns Bicycle Agency	Frame manufacturer	10		
356	EAI (Euro Asia Imports)	Frame manufacturer	10	http://www.euroasiaimports.com/aboutus.asp	
506	EBC	Manufacturer	10		
1277	EG Bikes (Metronome)	Frame manufacturer	10	http://www.egbike.com/	
508	EK USA	Manufacturer	10		
1200	EMC Bikes	Frame manufacturer	10	http://www.emcbikes.com/	
516	ENVE Composites	Manufacturer	10		
521	ESI	Manufacturer	10		
523	EVS Sports	Manufacturer	10		
1356	EZ Pedaler (EZ Pedaler electric bikes)	Frame manufacturer	10	http://www.ezpedaler.com/	
124	Eagle Bicycle Manufacturing Company	Frame manufacturer	10	http:// none	
504	Eagles Nest Outfitters	Manufacturer	10		
183	East Germany	Frame manufacturer	10	http://www.easternbikes.com/dealers/	
505	Eastern	Frame manufacturer	10	http://easternbikes.com/	
1196	Easy Motion	Frame manufacturer	10	http://www.emotionbikesusa.com/	
973	Ebisu	Frame manufacturer	10	http://www.jitensha.com/eng/aboutframes_e.html	
225	Eddy Merckx	Frame manufacturer	10	http://www.eddymerckx.be/	
1028	Edinburgh Bicycle Co-operative	Frame manufacturer	10	http://www.edinburghbicycle.com/	
1090	EighthInch	Frame manufacturer	10	http://www.eighthinch.com	https://files.bikeindex.org/uploads/Ma/1090/wwweighthinchcom.png
125	Electra	Frame manufacturer	250	http://www.electrabike.com/	
510	Elevn Technologies	Manufacturer	10		
511	Elite SRL	Manufacturer	10		
1233	Elliptigo	Frame manufacturer	10	http://www.elliptigo.com/	
1236	Ellis	Frame manufacturer	10	http://www.elliscycles.com/	
126	Ellis Briggs	Frame manufacturer	10	http://www.ellisbriggscycles.co.uk/	
127	Ellsworth	Frame manufacturer	10	http:// www.­ellsworthride.­com	
128	Emilio Bozzi	Frame manufacturer	10	http:// none	
512	Endurance Films	Manufacturer	10		
513	Enduro	Manufacturer	10		
514	Endurox	Manufacturer	10		
515	Energizer	Manufacturer	10		
1365	Engin Cycles	Frame manufacturer	10	http://www.engincycles.com/	
130	Enigma Titanium	Frame manufacturer	10	http://www.enigmabikes.com/	
517	Epic	Manufacturer	10		
519	Ergon	Manufacturer	10		
520	Esbit	Manufacturer	10		
1103	Europa	Frame manufacturer	10	http://www.europacycles.com.au/	
1281	Evelo	Frame manufacturer	10	http://www.evelo.com/	
522	Eveready	Manufacturer	10		
1048	Evil	Frame manufacturer	10	http://www.evil-bikes.com	https://files.bikeindex.org/uploads/Ma/1048/wwwevilbikescom.png
1389	Evo	Frame manufacturer	10	http://evobicycle.com/	
524	Excess Components	Manufacturer	10		
525	Exustar	Manufacturer	10		
529	FBM	Frame manufacturer	10	http://fbmbmx.com	https://files.bikeindex.org/uploads/Ma/529/fbmbmxcom.png
1269	FRAMED	Frame manufacturer	10	http://www.framedbikes.com/	
543	FSA (Full Speed Ahead)	Manufacturer	10		
1259	Faggin	Frame manufacturer	10	http://www.fagginbikes.com/en	
1009	Failure	Frame manufacturer	10	http://www.failurebikes.com/	
526	Fairdale	Frame manufacturer	10	http://fairdalebikes.com/	
1358	Falco Bikes	Frame manufacturer	10	http://www.falcobike.com/	
132	Falcon	Frame manufacturer	10	http://www.falconcycles.co.uk/CORP/aboutFalcon.html	
1256	Faraday	Frame manufacturer	10	http://www.faradaybikes.com/	
528	Fast Wax	Manufacturer	10		
134	Fat City Cycles	Frame manufacturer	10	http:// none	
1056	Fatback	Frame manufacturer	10	http://fatbackbikes.com/	
1217	Fausto Coppi	Frame manufacturer	10		
113	Federal	Frame manufacturer	10	http://www.federalbikes.com	https://files.bikeindex.org/uploads/Ma/113/wwwfederalbikescom.png
136	Felt	Frame manufacturer	500	http://www.feltbicycles.com/	
1168	Fetish	Frame manufacturer	10	https://www.facebook.com/FetishCycles	
1169	Fezzari	Frame manufacturer	10	http://www.fezzari.com/	
530	FiberFix	Manufacturer	10		
531	Fiction	Manufacturer	10		
140	Field	Frame manufacturer	10	http://www.fieldcycles.com/	
532	Finish Line	Manufacturer	10		
533	Finite	Manufacturer	10		
1376	Firefly Bicycles	Frame manufacturer	10	http://fireflybicycles.com/	
1153	Firefox	Frame manufacturer	10	http://www.firefoxbikes.com/	
1064	Firenze	Frame manufacturer	10		
1065	Firmstrong	Frame manufacturer	10	http://www.firmstrong.com/	
534	First Endurance	Manufacturer	10		
353	Fit bike Co.	Frame manufacturer	10		
535	Fizik	Manufacturer	10		
370	Fleet Velo	Frame manufacturer	10	http://fleetvelo.com/fv/	
138	Fleetwing	Frame manufacturer	10	http:// none	
536	Flybikes	Manufacturer	10		
141	Flying Pigeon	Frame manufacturer	10	http://flyingpigeon-la.com/	
142	Flying Scot	Frame manufacturer	10	http://www.flying-scot.com/core/welcome.html	
1378	Flyxii	Frame manufacturer	10	http://www.flyxii.com/	
966	Focale44	Frame manufacturer	10	http://www.focale44bikes.com/	
143	Focus	Frame manufacturer	10	http://www.focus-bikes.com/int/en/home.html	
537	Foggle	Manufacturer	10		
1049	Fokhan	Frame manufacturer	10		
158	Folmer & Schwing	Frame manufacturer	10		
